pkid,pbid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs,iteration_count
0,0,1,8,4,ChocoSolver,0,100.0,1.0009765524902345,24
0,1,1,8,4,ChocoSolver,100.0,100.0,0.0,25
0,2,1,8,4,ChocoSolver,100.0,100.0,0.0,22
0,3,1,8,4,ChocoSolver,0,100.0,0.9999999900000002,22
0,4,1,8,4,ChocoSolver,0,100.0,1.0009765524902345,28
0,5,1,8,4,ChocoSolver,0,100.0,0.9999999900000002,24
0,6,1,8,4,ChocoSolver,0,100.0,0.999999995,23
0,7,1,8,4,ChocoSolver,0,100.0,1.0009765524902345,24
0,8,1,8,4,ChocoSolver,0,100.0,0.9999999900000002,22
0,9,1,8,4,ChocoSolver,100.0,100.0,0.0,23
0,10,1,8,4,ChocoSolver,99.90234375,100.0,0.00048828124755859376,22
0,11,1,8,4,ChocoSolver,100.0,100.0,0.0,29
0,12,1,8,4,ChocoSolver,100.0,100.0,0.0,23
0,13,1,8,4,ChocoSolver,0,100.0,0.9999999900000002,24
0,14,1,8,4,ChocoSolver,0,100.0,1.0009765524902345,25
0,15,1,8,4,ChocoSolver,0,100.0,0.9999999900000002,22
0,16,1,8,4,ChocoSolver,100.0,100.0,0.0,29
0,17,1,8,4,ChocoSolver,100.0,100.0,0.0,24
0,18,1,8,4,ChocoSolver,100.0,100.0,0.0,26
0,19,1,8,4,ChocoSolver,99.8046875,100.0,0.0009765624951171875,31
0,20,1,8,4,ChocoSolver,0,100.0,1.001953114980469,28
0,21,1,8,4,ChocoSolver,0,100.0,0.9999999900000002,21
0,22,1,8,4,ChocoSolver,99.8046875,100.0,0.0009765624951171875,28
0,23,1,8,4,ChocoSolver,99.90234375,100.0,0.00048828124755859376,30
0,24,1,8,4,ChocoSolver,0,100.0,0.9999999900000002,28
0,25,1,8,4,ChocoSolver,0,100.0,1.0009765524902345,29
0,26,1,8,4,ChocoSolver,99.90234375,100.0,0.00048828124755859376,23
0,27,1,8,4,ChocoSolver,100.0,100.0,0.0,25
0,28,1,8,4,ChocoSolver,99.70703125,100.0,0.0014648437426757813,27
0,29,1,8,4,ChocoSolver,0,100.0,1.001953114980469,30
0,30,1,8,4,ChocoSolver,99.90234375,100.0,0.00048828124755859376,25
0,31,1,8,4,ChocoSolver,99.90234375,100.0,0.00048828124755859376,22
0,32,1,8,4,ChocoSolver,0,100.0,0.9999999900000002,21
0,33,1,8,4,ChocoSolver,100.0,100.0,0.0,20
0,34,1,8,4,ChocoSolver,0,100.0,0.9999999900000002,23
0,35,1,8,4,ChocoSolver,100.0,100.0,0.0,20
0,36,1,8,4,ChocoSolver,100.0,100.0,0.0,21
0,37,1,8,4,ChocoSolver,100.0,100.0,0.0,20
0,38,1,8,4,ChocoSolver,100.0,100.0,0.0,24
0,39,1,8,4,ChocoSolver,0,100.0,0.9999999900000002,21
0,40,1,8,4,ChocoSolver,100.0,100.0,0.0,21
0,41,1,8,4,ChocoSolver,100.0,100.0,0.0,21
0,42,1,8,4,ChocoSolver,0,100.0,0.9999999900000002,21
0,43,1,8,4,ChocoSolver,99.90234375,100.0,0.00048828124755859376,22
0,44,1,8,4,ChocoSolver,0,100.0,0.9999999900000002,21
0,45,1,8,4,ChocoSolver,100.0,100.0,0.0,21
0,46,1,8,4,ChocoSolver,100.0,100.0,0.0,23
0,47,1,8,4,ChocoSolver,0,100.0,0.9999999900000002,22
0,48,1,8,4,ChocoSolver
