pkid,pbid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs,iteration_count
0,0,1,11,8,ChocoSolver,100.0,100.0,0.0,28
0,1,1,11,8,ChocoSolver,22.36328125,100.0,0.14556884761075972,29
0,2,1,11,8,ChocoSolver,99.8046875,100.0,0.0006510416664858217,22
0,3,1,11,8,ChocoSolver,14.2578125,100.0,0.09257812495371093,27
0,4,1,11,8,ChocoSolver,100.0,100.0,0.0,22
0,5,1,11,8,ChocoSolver,99.90234375,100.0,0.0003720238094352324,25
0,6,1,11,8,ChocoSolver,100.0,100.0,0.0,22
0,7,1,11,8,ChocoSolver,100.0,100.0,0.0,23
0,8,1,11,8,ChocoSolver,99.90234375,100.0,0.00021701388882860724,23
0,9,1,11,8,ChocoSolver,0,100.0,0.0671223958109592,25
0,10,1,11,8,ChocoSolver,100.0,100.0,0.0,22
0,11,1,11,8,ChocoSolver,100.0,100.0,0.0,22
0,12,1,11,8,ChocoSolver,20.60546875,100.0,0.06911057689649593,28
0,13,1,11,8,ChocoSolver,100.0,100.0,0.0,26
0,14,1,11,8,ChocoSolver,12.40234375,100.0,0.044782366060766104,30
0,15,1,11,8,ChocoSolver,99.70703125,100.0,0.0007195723682316915,26
0,16,1,11,8,ChocoSolver,100.0,100.0,0.0,22
0,17,1,11,8,ChocoSolver,0,100.0,0.0499999999875,28
0,18,1,11,8,ChocoSolver,100.0,100.0,0.0,25
0,19,1,11,8,ChocoSolver,0.5859375,100.0,0.14746093747269243,30
0,20,1,11,8,ChocoSolver,100.0,100.0,0.0,26
0,21,1,11,8,ChocoSolver,100.0,100.0,0.0,23
0,22,1,11,8,ChocoSolver,100.0,100.0,0.0,23
0,23,1,11,8,ChocoSolver,100.0,100.0,0.0,25
0,24,1,11,8,ChocoSolver,100.0,100.0,0.0,19
0,25,1,11,8,ChocoSolver,100.0,100.0,0.0,13
0,26,1,11,8,ChocoSolver,100.0,100.0,0.0,21
0,27,1,11,8,ChocoSolver,100.0,100.0,0.0,28
0,28,1,11,8,ChocoSolver,99.90234375,100.0,4.650297617940405e-05,26
0,29,1,11,8,ChocoSolver,100.0,100.0,0.0,21
0,30,1,11,8,ChocoSolver,100.0,100.0,0.0,24
